#separator:tab
#html:false
abound		exist in large numbers or amounts.	1) a business in which opportunities abound   2) errors and inconsistencies abound	proliferate, plentiful, copious, ample, brim, bristle, bulge, burst, bustle, buzz, crawl, hum,
insipid		1. lacking flavor; weak or tasteless. 2. lacking vigor or interest.	1) Movies burdened with insipid leads often make up for them with amusing sidekicks; “Midnight at the Magnolia” does not even try. 2) This may have looked like a side rejuvenated, but it was another largely insipid and lethargic showing from the Red Devils.	dead, flat, flavorless, savorless, tasteless, unsavory,
loquacious	From Latin loqui (talk) + -ious	tending to talk a great deal; talkative.	Even the loquacious Mrs. Hubbard was unnaturally quiet.	garrulous, verbose, blabby, chatty, conversational, gabby, motormouthed, mouthy, talkative,
misanthropic		having or showing a dislike of other people; unsociable.	1) He was shunned because of his miserable misanthropic nature.	antisocial, unfriendly, reclusive, uncongenial, cynical, pessimistic,
misnomer	mis (wrong) + nomer (name)	a wrong or inaccurate name or designation.	1) ‘International Airport’ is something of a misnomer, since almost all the arriving and departing flights are local.	baptismal name, Christian name, first name, forename, given name, appellation, appellative, cognomen,
negligent	adj for neglect	failing to take proper care over something.	1) was a careless workman, negligent of details	careless, derelict, disregardful, lax, lazy, neglectful, neglecting, remiss,
obsequious	ob-se-ki-ass. Obedient servants kiss your ass.	obedient or attentive to an excessive or servile degree.	1) She's constantly followed by obsequious assistants who will do anything she tells them to.	sycophantic, servile, fawning, kowtowing, obeisant, slavish, subordinate, subservient, amenable,
placate	A place full of cats can easily calm me down	make (someone) less angry or hostile.	1) The administration placated protesters by agreeing to consider their demands.   2) The angry customer was not placated by the clerk's apology.	pacify, appease, assuage, conciliate, disarm, gentle, mollify, propitiate,
proclivity		a tendency to choose or do something regularly; an inclination or predisposition towards a particular thing.	A proclivity for hard work	tendency, penchant, propensity, affection, affinity, aptitude, bent, bias, bone, devices, disposition,
puerile	Pure and childish, his jokes are immature and silly, like a young boy's pranks.	childishly silly and immature.	1) a puerile comedy   2) puerile behavior	adolescent, babyish, childish, immature, infantile, jejune, juvenile, kiddish,
quixotic	Don Quixote is quick to chase idealistic dreams	extremely idealistic; unrealistic and impractical.	John's quixotic quest to single-handedly clean up the entire city's coastline was admired for its idealism but viewed as impractical by most of his friends.	idealist, idealistic, quixotical, romantic, starry, starry-eyed, utopian, visionary,
spendthrift		a person who spends money in an extravagant, irresponsible way.	He’s a spendthrift and a gambler	extravagant, high-rolling, prodigal, profligate, squanderer, thriftless, unthrifty, wasteful,
taciturn		(of a person) reserved or uncommunicative in speech; saying little.	1) a somewhat taciturn young man	quiet, inarticulate, aloof, closemouthed, dumb, laconic, reserved, reticent, silent, tight-lipped, uncommunicative,
wary		feeling or showing caution about possible dangers or problems.	1) The store owner kept a wary eye on him.   2) Investors are increasingly wary about putting money into stocks.	alert, careful, cautious, chary, circumspect, conservative, considerate, gingerly,
austere	August severely limits the luxury of the ceremony, making it strictly simple	1. Strict in manner  2. Lack of comforts or luxuries	1) an austere Puritan	authoritarian, flinty, hard, harsh, heavy-handed, ramrod, rigid, rigorous,
adulterate		render (something) poorer in quality by adding another substance.	Only about 5 percent of 157 samples were found to be adulterated with lead chromate, down from nearly 50 percent before.	degrade, debase, taint, defile, adulterated, alloyed, contaminated, dilute, diluted, impure, polluted, tainted,
advocate		a person who publicly supports or recommends a particular cause or policy.		champion, supporter, proponent, advocator, apostle, backer, booster, espouser, exponent, expounder,
aggrandize	ag + grand + ize = make something grand	increase the power, status, or wealth of.	1) aggrandize an estate	canonize, deify, dignify, elevate, ennoble, enshrine, ensky, enthrone,
alacrity	With a lack of the city,  they were all eager to explore the countryside.	brisk and cheerful readiness.	He accepted his crush's invitation to the party with alacrity	eagerness, amenability, gameness, goodwill, obligingness, willingness,
ambivalent		having mixed feelings or contradictory ideas about something or someone.	1) … people whose relationship to their job is ambivalent, conflicted.   2) Americans are deeply ambivalent about the country's foreign role. Isolationist yearnings coexist uneasily with superpower policies.	conflicted, equivocal, indecisive, irresolute, wavering, vacillating
ameliorate		make (something bad or unsatisfactory) better.	1) medicine to ameliorate the pain	amend, better, enhance, enrich, help, improve, meliorate, perfect,
amenable	A men able to respond quickly to suggestion will succeed	1) open and responsive to suggestion; easily persuaded or controlled. 2) (amenable to) (of a thing) capable of being acted upon in a particular way; susceptible to	1) Parents who have had easy babies and amenable children. 2) The patients had cardiac failure not amenable to medical treatment.	1) compliant, acquiescent, biddable, manageable, controllable, governable, persuadable, responsive, pliant, malleable, complaisant, accommodating, docile, submissive, obedient, tame, meek, easily handled; 2) susceptible, receptive, responsive, reactive, vulnerable; defenseless against
anachronistic		belonging to a period other than the time being portrayed; chronically inconsistency especially the juxtaposition of people, events, objects that come from different time periods.	They were following mental anachronistic models of management that no longer fitted the world they were living in.	anachronous, antiquated, moldy, obsolete, rinky-dink, antique, oldfangled, old-fashioned,
audacious	au-dare-cious. The author dares to deceive us with the title.	1. showing a willingness to take surprisingly bold risks. 2. showing an impudent lack of respect.	1) an audacious mountain climber	bold, daring, intrepid, valiant, arch, bold-faced, brash, brassbound, brassy, brazen, brazen-faced,
avaricious		having or showing an extreme greed for wealth or material gain.	1) avaricious corporate bosses looking to maximize their profits	acquisitive, greedy, coveting, covetous, grabby, grasping, mercenary, prehensile
banal		so lacking in originality as to be obvious and boring.	1) He made some banal remarks about the weather.   2) After that, Craig Finch asked me more banal questions, like where I lived in New Jersey and what my favorite class at Duke had been and why.	trite, flat, trite, insipid, tired, milk-and-water, namby-pamby, watery, wishy-washy,
benign		1. gentle and kind. 2. not harmful to the environment.	1) a benign infection/disease	affectionate, amiable, genial, friendly, anodyne, harmless, hurtless, innocent, innocuous, inoffensive, safe, white,
brazen		bold and without shame.	Carroll later said that “amazed” him: How brazen was this man, who didn't run at the sight of the police?	defiant, arch, audacious, bold, bold-faced, brash, brassbound, brassy, brazen-faced,
calumny	They dare write columns to slander me	the making of false and defamatory statements about someone in order to damage their reputation; slander.	He denounced his opponent for his defamatory insinuations and calumny	slander, aspersing, blackening, calumniation, character assassination, defamation, defaming, libel, libeling,
candid		truthful and straightforward; frank.	1) a candid discussion	direct, forthcoming, forthright, foursquare, frank, free-spoken, freehearted, honest,
castigate		reprimand (someone) severely.	The judge castigated the lawyers for their lack of preparation.	reprimand, rebuke, baste, bawl out, berate, call down, chastise, chew out, dress down, flay,
caustic		sarcastic in a scathing and bitter way.able to burn or corrode organic tissue by chemical action.	The old woman’s voice was flat, nothing like her usually caustic toneAt the same time it continued to boil, forming thick, low clouds, dark as tar, caustic, and ready to burst into flame.	acerb, acerbic, corrosive, scathing, sardonic, acid, acidic, acidulous, acrid, barbed, biting,
construe		interpret (a word or action) in a particular way.	His words could hardly be construed as an apology.	interpret, clarify, clear (up), demonstrate, demystify, elucidate, explain, explicate, expound,
contrite	cant + right. I'm sorry that I can't do anything right.	feeling or expressing remorse at the recognition that one has done wrong.	“I’m sorry you lost your rocket stuff,” he told me, truly contrite.Mr. Johnson issued a contrite apology for attending the party in his backyard	apologetic, penitent, regretful, remorseful, repentant, rueful, sorry, compunctious
convoluted		1. (especially of an argument, story, or sentence) extremely complex and difficult to follow. 2. intricately folded, twisted, or coiled.	1) Other passages were so full of confusing, convoluted words that she ground her teeth at her own uselessness and skipped to something simpler. 2) The streets were as crooked and wayward as country streams, dissecting the city not into square blocks but into convoluted shapes of all sizes.	intricate, baroque, byzantine, complex, complicate, complicated, daedal, elaborate,
covet		yearn to possess (something, especially something belonging to another).	1) covet an award	ache (for), crave, desiderate, desire, die (for), hanker (for or after), hunger (for), itch (for),
craven	Cave-dwellers cringe and shy away from outside danger. They're cowardly	contemptibly lacking in courage; cowardly.	1) … craven mercenaries who would not fight …	cowardly, timid, spiritless, quaking, chicken, chicken-livered, chickenhearted, dastardly, gutless, lily-livered, milk-livered,
decorum		behaviour in keeping with good taste and propriety.	According to strict neoclassic decorum only the aristocracy had the right to appear in tragedy	etiquette, decency, form, propriety,
deft		neatly skilful and quick in one's movements.	1) the photographer's deft use of lighting   2) the deft fingers of the trumpeter	skillful, adept, adroit, proficient, artful, delicate, dexterous, expert, masterful, masterly,
demur		raise objections or show reluctance.	Normally she would have accepted the challenge, but she demurred.	protest, dissent, challenge, complaint, demurral, demurrer, difficulty, exception, expostulation, fuss,
derivative		1. (n) something which is based on another source. 2. (adj) imitative of the work of another artist, writer, etc., and usually disapproved of for that reason.	A derivative of the system was chosen for the Marine Corps’ V-22 tilt rotor aircraft.An artist who is not in the slightest bit derivative	imitative, banal, unoriginal, secondary, secondhand,
desiccate	From Latin desiccare (to dry throughly). The desert dried up all the water, leaving the plants desiccated under the scorching sun.	remove the moisture from (something); cause to become completely dry.	1) the desiccated land	dried, dehydrated, castrate, damp, dampen, deaden, dehydrate, devitalize, enervate, geld,
diatribe		a forceful and bitter verbal attack against someone or something.	The article is a blistering diatribe against mainstream media. a bitter diatribe about/on how unfair the tax system is	harangue, reprimand, rebuke, jeremiad, philippic, rant, tirade,
incredulous		(of a person or their manner) unwilling or unable to believe something.	1) She listened to his explanation with an incredulous smile.   2) He was incredulous at the news.   3) Many people were incredulous that such a small fire could have caused so much damage.	disbelieving, dubious, cynical, distrustful, doubting, mistrustful, negativistic, questioning, show-me, skeptical,
ingenuous		(of a person or action) innocent and unsuspecting.	She’s staggeringly ingenuous, or possibly she’s cunning indeed.	artless, genuine, guileless, honest, innocent, naive, natural, real,
abate	A bait declined in quality, so it did not attract as many fish as before.	(of something unpleasant or severe) become less intense or widespread.	1) waiting for the storm to abate	de-escalate, decline, decrease, die (away or down or out), diminish, drain (away), drop (off), dwindle,
abjure	"From Latin ab- (away) + jurare (swear, as in ""jury""). A jury rejects the defendant’s claims after the evidence is reviewed."	solemnly renounce (a belief, cause, or claim).	He refused to abjure the Catholic faith.	renounce, forswear, relinquish, repudiate, reject, abandon, abnegate
anomalous		deviating from what is standard, normal, or expected.	1) Researchers could not explain the anomalous test results.	abnormal, atypical,  peculiar, aberrant, aberrated, especial, exceeding, exceptional, extraordinaire,
antipathy	anti + pathos = against feeling	a deep-seated feeling of dislike; aversion.	1) an antipathy to taxes   2) a deep antipathy between the groups	animosity, animus, antagonism, aversion, abhorrence, bad blood, bitterness, enmity, gall, grudge,
arcane		understood by few; mysterious or secret.	1) modern math and its arcane notation  2) arcane rituals and rules	mysterious, concealed, covert, enigmatic, abstruse, cryptic, deep, esoteric, hermetic, profound, recondite,
arduous		involving or requiring strenuous effort; difficult and tiring.	1) an arduous task   2) years of arduous training	laborious, strenuous, relentless, formidable, Augean, backbreaking, challenging, demanding, difficult, effortful, exacting,
artless		without effort or pretentiousness; natural and simple.	1)    It’s her “artless” grace and “innocent” kisses that tell him so.	ingenuous, candid, genuine, guileless, honest, innocent, naive, natural, real,
ascetic	Aesthetic choices often diverge from self-discipline and simple living	characterized by severe self-discipline and abstention from all forms of indulgence, typically for religious reasons.	1) an ascetic monk   2) an ascetic diet	austere, abstinent, abstemious, frugal, monastic, monkish, authoritarian, flinty, hard, harsh, heavy-handed,
assuage		make (an unpleasant feeling) less intensesatisfy	Luckily, the letter assuaged the fears of most membersHer physical hunger could be quickly assuaged	allay, alleviate, ease, help, mitigate, mollify, palliate, relieve,
betray		1. unintentionally reveal; be evidence of. 2. expose (one's country, a group, or a person) to danger by treacherously giving information to an enemy.	My scent would hang heavily in the air and betray my presence to any animal nearby. They betrayed their country by selling its secrets to other governments.	divulge, expose, revealbackstab, cross, double-cross, sell (out), two-time,
bucolic	I'm a blue collar in the bucolic countryside	relating to the pleasant aspects of the countryside and country life.	As they drove through the bucolic countryside, Sarah marveled at its rolling green hills, grazing sheep, and quaint farmhouses nestled among ancient oak trees.	country, pastoral, rural, rustic,
burgeon		begin to grow or increase rapidly; flourish.	1) The market for collectibles has burgeoned in recent years.	proliferate, flourish, accelerate, accumulate, appreciate, balloon, boom, build up, climb, enlarge,
cacophonous	From Greek kakos (bad) + phōnē (sound). I hate the bad sounds from the nearby construction site; they were loud and discordant.	involving or producing a harsh, discordant mixture of sounds.	... like an old battlefield, once cacophonous with the clash of steel, the roar of cannon, the screams of wounded and dying men	loud; discordant, dissonant, inharmonious, unmelodious, unmusical, unvocal,
canonize		1. place in or regard as belonging to a canon of literary or artistic works. 2. (in the Roman Catholic Church) officially declare (a dead person) to be a saint.	1) She died 100 years ago and was canonized in Rome last year.	adore, adulate, deify, dote (on), hero-worship, idolize, worship,
censure	From Latin censura (judgment). A judge was publicly condemned for various misconduct	express severe disapproval of (someone or something), especially in a formal statement.	A judge was censured for a variety of types of injudicious conduct	commination, condemnation, denunciation, excoriation, objurgation, condemn, castigate, chastice, lambast; reprimand, berate, reprove, rebuke, admonish
chicanery	Looks like chicken + trickery. Chickens in the barn use trickery to steal corn.	the use of trickery to achieve a political, financial, or legal purpose	He wasn't above using chicanery to win votes.	deceit, duplicity, fraud, artifice, chicane, gamesmanship, hanky-panky, jiggery-pokery, jugglery, legerdemain, skulduggery,
coalesce		come together to form one mass or whole.	Instead of dispersing, they coalesced into him, clustering in the folds of his ragged cloak, disappearing into his mouth, and flying around his head like a screaming halo.	merge, blend, associate, combine, conjoin, conjugate, connect, couple, fuse, interfuse,
cogent	coherent arguments often sound more convincing	(of an argument or case) clear, logical, and convincing.	The lawyer's cogent argument swayed the jury's opinion and ultimately led to a favorable verdict for her client.	compelling, conclusive, potent, plausible, convincing, decisive, effective, forceful, persuasive, satisfying,
compelling		evoking interest, attention, or admiration in a powerfully irresistible way.		cogent, enthralling, captivating, riveting, mesmerizing, conclusive, convincing, decisive, effective, forceful, persuasive, satisfying,
contend	Looks like content. When companies are not content with their market share, they compete for more	compete with others in a struggle to achieve (something).assert something as a position in an argument.	"The pain of my body was enough for me to contend with.""The Internet is replete with novelty and variability,"" he contends."	strive, battle, compete, face off, fight, race, rival, vie,maintain, assert, postulate
copious		abundant in supply or quantity.	1) a copious harvest   2) copious springs	abundant, plentiful, ample, profuse, substantial, generous, galore, gushing, lavish, riotous,
cosmopolitan		1. including people from many different countries. 2. (of a plant or animal) found all over the world.		univeral, urbane, suave, smart, sophisticated, worldly, worldly-wise,
deference		polite submission and respect.	Her relatives treat one another with deference. In deference to her wishes, we spent two weeks on the coast.	esteem, respect, courtesy, reverence, veneration, acquiescence, biddability, compliance, compliancy, docility, obedience, submissiveness,
desultory	Looks like not + result + story. A halfhearted and perfunctory effort will not result in a good story	lacking a plan, purpose, or enthusiasm.	The student's desultory approach to studying resulted in poor grades and a superficial understanding of the subject.	lukewarm, cursory, casual, superficial, haphazard, aimless, arbitrary, catch-as-catch-can, erratic, helter-skelter, hit-or-miss, random,
diffident		modest or shy because of a lack of self-confidence.	1) He becomes diffident [=shy, timid] around girls.	shy, meek, timid, wary, backward, bashful, coy, demure, introverted, modest, recessive, retiring,
dilatory	The writer wants to delay the story, but is slow to talk to her rigid editor	slow to act.intended to cause delay.	He had been dilatory in appointing a solicitor. They resorted to dilatory procedural tactics, forcing a postponement of peace talks.	lax, slack, tardy, stalling, dillydallying, crawling, creeping, dallying, dawdling, dragging, laggard, lagging,
equivocate	equi + vocate: When we make similar (=equi) sounds, they conceal the meaning of individual words.	use ambiguous language so as to conceal the truth or avoid committing oneself.	1) The applicant seemed to be equivocating when we asked him about his last job.   2) When asked about her tax plan, the candidate didn't equivocate.	prevaricate, waver, quibble, fudge, hedge, pussyfoot, tergiversate, waffle, weasel,
polarize		divide or cause to divide into two sharply contrasting groups or sets of opinions or beliefs.	The controversial new policy seemed to polarize the community, with passionate supporters on one side and vehement opponents on the other, leaving very few people with neutral opinions.	divide, contrast,
prodigal	"Looks like ""prodigy."" That prodigal prodigy can be wasteful and generous because he scams a lot."	spending money or using resources freely and recklessly; wastefully extravagant.having or giving something on a lavish scale.	After years of living a prodigal lifestyle, spending his inheritance on lavish parties and extravagant purchases, John returned home penniless and remorseful. The dessert was crunchy with brown sugar and prodigal with whipped cream.	extravagant, imprudent, high-rolling, profligate, spendthrift, squandering, thriftless, unthrifty, wasteful,
verbose		using or expressed in more words than are needed.	He doesn't really say much either, which was interesting for me because I'm a pretty verbose guy.	loquacious, garrulous, voluble, orotund, prolix, circuitous, circumlocutory, diffuse, logorrheic, long-winded, pleonastic,
abstain		1. restrain oneself from doing or enjoying something.  2. formally decline to vote either for or against a proposal or motion.	I wonder why Therese abstains from food, though she is not bound by the nun’s vows. More than a third of the senators abstained from voting.	decline, refuse, reject, turn down, delay, halt, hesitate, stall,
approbation	approval	approval or praise.	1) a plan that has won the approbation of the mayor	approval, assent, commendation, blessing, favor, imprimatur, OK,
cherish		1. protect and care for (someone) lovingly. 2. keep (a hope or ambition) in one's mind.	1) cherished her friends	adore, love, worship, esteem, admire,
corroborate		confirm or give support to (a statement, theory, or finding).	1) Two witnesses corroborated [=confirmed] his story.	endorse, bolster, argue, attest, authenticate, bear out, certify, confirm, substantiate, support,
disparate	separate	essentially different in kind; not able to be compared.	1) The conversation covered topics as disparate [=diverse] as fashion and biology.   2) disparate cultures   3) music that combines/blends disparate [=dissimilar] elements	contrasting, different, dissimilar, distant, distinct, distinctive, distinguishable, diverse, nonidentical,
emulate		match or surpass (a person or achievement), typically by imitation.	My intent is not to honor these passages as if I were bestowing a prize, nor to hold them up as models for you to emulate.	imitate, mimic, equal,
enervate	"Looks like ""energy evaded."" I feel like my energy evaded. I'm so drained after the stupid long runs."	make (someone) feel drained of energy or vitality.	The voyage by boat, however, would probably enervate me, and I am certainly not perverse enough to attempt air travel even if I could afford it.	exhaust, weary, fatigue, enfeeble, castrate, damp, dampen, deaden, dehydrate, desiccate, devitalize, geld,
ephemeral		lasting for a very short time.		transitory, transient, cursory, brief, deciduous, evanescent, flash, fleeting, fugacious, fugitive, impermanent,
fervid		intensely enthusiastic or passionate, especially to an excessive degree.	The team's fans are known to be very fervent and full of passion. The politician spoke with a fervid intensity that made people want to vote for him.	ardent, intense, profound, avid, blazing, burning, charged, demonstrative, emotional, fervent, feverish,
garrulous		excessively talkative, especially on trivial matters.	He became more garrulous after drinking a couple of beers. “Sally asked so many garrulous, probative questions that at ten this morning I was reduced to answering, ‘I am sufficiently well, madam.’	loquacious, voluble, verbose, prolix, blabby, chatty, conversational, gabby, motormouthed, mouthy, talkative,
incendiary	Too much incense can ignite a spark as an explosive, and evoke provocative reactions from people who inhaled the smoke.	tending to stir up conflict. (of a device or attack) designed to cause fires.a person who starts fire (military context) or conflicts	The fire spread far into the countryside, and now the rebels are huddled in the blackened ruins as fitting punishment for their incendiary havoc.There need to be regulations for flamethrowers, explosives, and any other incendiary device.	inflammatory, rabble-rousing, provocative, agitational, seditious, subversive, revolutionary, insurrectionary, insurrectionistcombustible, flammable, inflammablearsonist, firebug, agitator
inimical	enemy causes damage, thus is inimical	tending to obstruct or harm.	Winter is an inimical world; its punishment for doing things wrong is sure and prompt: death from cold or death from hunger.The Frostfangs were as cruel as any place the gods had made, and as inimical to men.	detrimental, harmful, contrary, adversarial, adversary, antagonistic, antipathetic, hostile, inhospitable, jaundiced, mortal,
intimate	Even among intimate couples, some personal issues might only be hinted, not easily stated	1. closely acquainted; familiar. 2. to state or make known. 3. to imply or hint subtly	She intimated that there might be a promotion coming up soon, though she didn't confirm it.	cherished, bosom, hospitable, confidential, devoted, buddy-buddy, chummy, close, especial, familiar, friendly, inseparable,
invigorate		give strength or energy to.	1) A brisk walk in the cool morning air always invigorates me.   2) He was invigorated by the positive feedback.	revitalize, rejuvenate, motivate, stimulate, amp (up), animate, brace, energize, enliven, fillip, fire, ginger (up),
mitigate		make (something bad) less severe, serious, or painful.	1) aggressiveness may be mitigated or … channeled	alleviate, assuage, diminish, attenuate, appease, ease, help, mollify, palliate, relieve, allay,
obsolete		no longer produced or used; out of date.		antiquated, archaic, anachronistic, dated, démodé, demoded, fossilized, kaput, medieval,
opaque		1. not able to be seen through; not transparent.  2. (especially of language) hard or impossible to understand.	1) opaque glass   2) the opaque water of the muddy river	blurred, smeared, ambiguous, arcane, cryptic, dark, deep, Delphic, double-edged, elliptical,
paradigmatic	adj of 'paradigm'	1. serving as a typical example of something. 2. of or denoting the relationship between a set of linguistic items that form mutually exclusive choices in particular syntactic roles. Some types of relations are synonyms, antonyms, hyponyms,	His biography is paradigmatic of the experiences of this generation.	model, pattern, archetypal, classic, definitive, exemplary, imitable, quintessential, textbook,
pedantic	Dan ticked me off when he was being overly pedantic, explaining every detail to me as if I were a child.	excessively concerned with minor details or rules; overscrupulous.	Stripping pods is a precise and meticulous job that might be suited to pedantic dentists or finicky spice experts.	scrupulous, perfectionist, punctilious, meticulous, fastidious, finicky, dogmatic, quibbling, inkhorn, didactic, high-toned, hyperintellectual, high-hat, snobbish, snobby, snooty,
placid		1. not easily upset or excited.  2. calm and peaceful, with little movement or activity.	1) placid skies   2) a placid disposition	calm, serene, collected, composed, cool, coolheaded, equal, level, limpid,
polemical	"From Greek ""polemos"" (war). Political stances on this war are problematic and controversial"	of or involving strongly critical or disputatious writing or speech.	"Pohl co-authored 1991's ""Our Angry Earth,"" a polemical essay against humankind's environmental destruction"	critical, hostile, vitriolic, virulent, sardonic, argumentative, contentious, controversial, disputatious, quarrelsome, scrappy,
precipitate		cause (an event or situation, typically one that is undesirable) to happen suddenly, unexpectedly, or prematurely.	The sudden announcement of budget cuts precipitated a crisis in the department, causing immediate concern among staff and forcing managers to quickly develop contingency plans.	provoke, expedite, cursory, drive-by, flying, gadarene, hasty, headlong, helter-skelter, hurried,
profundity	noun of profound	deep insight; great depth of knowledge or thought great depth of insight or knowledge.	Prévert is amazing because, as a writer, he has immense profundity, but his language is really, really simple.	wisdom, perception, segacity, acuity, deepness, depth, profoundness,
prophetic		accurately predicting what will happen in the future.	It bet, in effect, on England rather than France as the hegemonic European power of the future, which proved prophetic.	prescient, predictive, prognostic, augural
prudent		acting with or showing care and thought for the future.	He wondered whether to go and look for Hyzenthlay, but decided that it would be prudent to keep away from her.	wise, shrewd, sagacious, far-sighted, thrifty, discreet, intelligent, judgmatic, judicious,
punctilious	punctual + meticulous	showing great attention to detail or correct behavior.	1) She's very punctilious about grammar.   2) a punctilious [=meticulous] caretaker	meticulous, diligent, scrupulous, thorough, ceremonious, correct, decorous, formal, nice, proper, starchy, stiff,
recondite	The teacher re-conducts the lesson because students reckon it as an abstruse subject.	(of a subject or knowledge) little known; abstruse.	The professor's lectures were so abstruse that students tended to avoid them	abstruse, arcane, obscure, prfound, cryptic, deep, esoteric, hermetic,
scrupulous	Looks like sculpture. To make sculpture, you must be very attentive to details	having moral integrity; very concerned to avoid doing wrong(of a person or process) careful, thorough, and extremely attentive to details.	They were scrupulous in their testing.She's too scrupulous to have an affair with a married man.	careful, meticulous, painstaking, thorough, assiduous, sedulous, attentive, diligent, conscientious, ultracareful, punctilious, elaborate, minute, studious, rigorous, particularhonest, honorable, upright, conscientious, upstanding, high-minded, righteous, right-minded, virtuous, principled, proper, just, noble, incorruptible, respectable
tranquil		free from disturbance; calm.	1) a tranquil self-assurance	arcadian, calm, hushed, peaceful, placid, quiet, restful, serene,
vacillate	From Latin vacillare (waver). Looks like vaccinate + oscillate. Whether to vaccinate or not, the patient wavered in their decision, oscillating back and forth.	waver between different opinions or actions; be indecisive.	My love for him vacillated from one entry to another.	waver, oscillate, dither, falter, halt, hang back, hesitate, scruple, shilly-shally,
aloof		not friendly or forthcoming; cool and distant.		austere, detached, distant, formal, antisocial, asocial
clangor		a continuous loud banging or ringing sound.	The clangor of machinery and hammer greeted her—unfamiliar noises that mingled with men shouting and women singing.	babel, blare, bluster, bowwow, brawl, bruit, cacophony, chatter,
